Date,Open,High,Low,Close,Adjusted Close,Volume
"Jun 09, 2022","30,177.67","30,605.18","30,059.94","30,258.58","30,258.58","22,292,916,224"
"Jun 08, 2022","31,151.48","31,253.69","29,944.40","30,214.36","30,214.36","30,242,059,107"
"Jun 07, 2022","31,371.74","31,489.68","29,311.68","31,155.48","31,155.48","40,770,974,039"
"Jun 06, 2022","29,910.28","31,693.29","29,894.19","31,370.67","31,370.67","31,947,336,829"
"Jun 05, 2022","29,835.12","30,117.74","29,574.45","29,906.66","29,906.66","17,264,085,441"
"Jun 04, 2022","29,706.14","29,930.56","29,500.01","29,832.91","29,832.91","16,588,370,958"
"Jun 03, 2022","30,467.81","30,633.04","29,375.69","29,704.39","29,704.39","26,175,547,452"
"Jun 02, 2022","29,794.89","30,604.73","29,652.71","30,467.49","30,467.49","29,083,562,061"
"Jun 01, 2022","31,792.55","31,957.29","29,501.59","29,799.08","29,799.08","41,135,817,341"
"May 31, 2022","31,723.87","32,249.86","31,286.15","31,792.31","31,792.31","33,538,210,634"
"May 30, 2022","29,443.37","31,949.63","29,303.57","31,726.39","31,726.39","39,277,993,274"
"May 29, 2022","29,019.87","29,498.01","28,841.11","29,445.96","29,445.96","18,093,886,409"
"May 28, 2022","28,622.63","28,814.90","28,554.57","28,814.90","28,814.90","35,519,577,634"
"May 27, 2022","29,251.14","29,346.94","28,326.61","28,627.57","28,627.57","36,582,005,748"
"May 26, 2022","29,564.78","29,834.16","28,261.91","29,267.22","29,267.22","36,774,325,352"
"May 25, 2022","29,653.13","30,157.79","29,384.95","29,562.36","29,562.36","27,525,063,551"
"May 24, 2022","29,101.13","29,774.36","28,786.59","29,655.59","29,655.59","26,616,506,245"
"May 23, 2022","30,309.40","30,590.59","28,975.56","29,098.91","29,098.91","31,483,454,557"
"May 22, 2022","29,432.47","30,425.86","29,275.18","30,323.72","30,323.72","21,631,532,270"
"May 21, 2022","29,199.86","29,588.87","29,027.39","29,432.23","29,432.23","17,274,840,442"
"May 20, 2022","30,311.12","30,664.98","28,793.61","29,200.74","29,200.74","30,749,382,605"
"May 19, 2022","28,720.36","30,430.75","28,708.96","30,314.33","30,314.33","33,773,447,707"
"May 18, 2022","30,424.48","30,618.72","28,720.27","28,720.27","28,720.27","31,285,268,319"
"May 17, 2022","29,862.41","30,694.49","29,570.30","30,425.86","30,425.86","29,101,473,475"
"May 16, 2022","31,304.38","31,305.34","29,251.88","29,862.92","29,862.92","32,613,897,286"
"May 15, 2022","30,098.59","31,308.19","29,527.74","31,305.11","31,305.11","25,835,372,065"
"May 14, 2022","29,285.64","30,192.80","28,702.91","30,101.27","30,101.27","28,579,868,620"
"May 13, 2022","29,030.91","30,924.80","28,782.33","29,283.10","29,283.10","42,841,124,537"
"May 12, 2022","28,936.73","30,032.44","26,350.49","29,047.75","29,047.75","66,989,173,272"
"May 11, 2022","31,016.18","32,013.40","28,170.41","28,936.36","28,936.36","70,388,855,818"
"May 10, 2022","30,273.65","32,596.31","29,944.80","31,022.91","31,022.91","59,811,038,817"
"May 09, 2022","34,060.02","34,222.07","30,296.95","30,296.95","30,296.95","63,355,494,961"
"May 08, 2022","35,502.94","35,502.94","33,878.96","34,059.27","34,059.27","36,763,041,910"
"May 07, 2022","36,042.50","36,129.93","34,940.82","35,501.95","35,501.95","24,375,896,406"
"May 06, 2022","36,573.18","36,624.36","35,482.13","36,040.92","36,040.92","37,795,577,489"
"May 05, 2022","39,695.75","39,789.28","35,856.52","36,575.14","36,575.14","43,106,256,317"
"May 04, 2022","37,748.01","39,902.95","37,732.06","39,698.37","39,698.37","36,754,404,490"
"May 03, 2022","38,528.11","38,630.00","37,585.62","37,750.45","37,750.45","27,326,943,244"
"May 02, 2022","38,472.19","39,074.97","38,156.56","38,529.33","38,529.33","32,922,642,426"
"May 01, 2022","37,713.27","38,627.86","37,585.79","38,469.09","38,469.09","27,002,760,110"
"Apr 30, 2022","38,605.86","38,771.21","37,697.94","37,714.88","37,714.88","23,895,713,731"
"Apr 29, 2022","39,768.62","39,887.27","38,235.54","38,609.82","38,609.82","30,882,994,649"
"Apr 28, 2022","39,241.43","40,269.46","38,941.42","39,773.83","39,773.83","33,903,704,907"
"Apr 27, 2022","38,120.30","39,397.92","37,997.31","39,241.12","39,241.12","30,981,015,184"
"Apr 26, 2022","40,448.42","40,713.89","37,884.98","38,117.46","38,117.46","34,569,088,416"
"Apr 25, 2022","39,472.61","40,491.75","38,338.38","40,458.31","40,458.31","35,445,730,570"
"Apr 24, 2022","39,478.38","39,845.93","39,233.54","39,469.29","39,469.29","17,964,398,167"
"Apr 23, 2022","39,738.72","39,935.86","39,352.20","39,486.73","39,486.73","16,138,021,249"
"Apr 22, 2022","40,525.86","40,777.76","39,315.42","39,740.32","39,740.32","28,011,716,745"
"Apr 21, 2022","41,371.52","42,893.58","40,063.83","40,527.36","40,527.36","35,372,786,395"
